file_name,k,chunk_type,chunk_size,question_id,RFP_id
exp_output_k15_typesentences_size10.json,15,sentences,10,145,infra_2
exp_output_k15_typesentences_size10.json,15,sentences,10,179,infra_1
exp_output_k15_typesentences_size10.json,15,sentences,10,146,infra_2
exp_output_k15_typesentences_size10.json,15,sentences,10,143,infra_2
exp_output_k15_typesentences_size10.json,15,sentences,10,196,infra_3
exp_output_k15_typesentences_size10.json,15,sentences,10,197,infra_3
exp_output_k15_typesentences_size10.json,15,sentences,10,338,infra_4
exp_output_k15_typesentences_size10.json,15,sentences,10,148,infra_2
exp_output_k15_typesentences_size10.json,15,sentences,10,276,infra_4
exp_output_k15_typesentences_size10.json,15,sentences,10,383,natsec_2
exp_output_k15_typesentences_size10.json,15,sentences,10,229,natsec_1
exp_output_k15_typesentences_size10.json,15,sentences,10,400,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,401,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,402,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,403,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,404,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,405,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,407,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,408,negative_rejection
exp_output_k15_typesentences_size10.json,15,sentences,10,409,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,145,infra_2
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,81,infra_1
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,179,infra_1
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,146,infra_2
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,183,infra_1
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,196,infra_3
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,147,infra_2
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,321,infra_4
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,182,infra_1
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,19,natsec_3
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,125,natsec_4
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,260,natsec_6
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,24,natsec_3
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,400,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,401,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,402,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,403,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,404,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,405,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,407,negative_rejection
exp_output_k10_typeparagraphs_size5.json,10,paragraphs,5,409,negative_rejection
exp_output_k5_typesentences_size100.json,5,sentences,100,314,infra_4
exp_output_k5_typesentences_size100.json,5,sentences,100,145,infra_2
exp_output_k5_typesentences_size100.json,5,sentences,100,138,infra_2
exp_output_k5_typesentences_size100.json,5,sentences,100,343,infra_4
exp_output_k5_typesentences_size100.json,5,sentences,100,146,infra_2
exp_output_k5_typesentences_size100.json,5,sentences,100,183,infra_1
exp_output_k5_typesentences_size100.json,5,sentences,100,197,infra_3
exp_output_k5_typesentences_size100.json,5,sentences,100,338,infra_4
exp_output_k5_typesentences_size100.json,5,sentences,100,177,infra_1
exp_output_k5_typesentences_size100.json,5,sentences,100,195,infra_3
exp_output_k5_typesentences_size100.json,5,sentences,100,148,infra_2
exp_output_k5_typesentences_size100.json,5,sentences,100,172,infra_1
exp_output_k5_typesentences_size100.json,5,sentences,100,276,infra_4
exp_output_k5_typesentences_size100.json,5,sentences,100,172,infra_1
exp_output_k5_typesentences_size100.json,5,sentences,100,182,infra_1
exp_output_k5_typesentences_size100.json,5,sentences,100,238,natsec_1
exp_output_k5_typesentences_size100.json,5,sentences,100,131,natsec_4
exp_output_k5_typesentences_size100.json,5,sentences,100,255,natsec_6
exp_output_k5_typesentences_size100.json,5,sentences,100,24,natsec_3
exp_output_k5_typesentences_size100.json,5,sentences,100,400,negative_rejection
exp_output_k5_typesentences_size100.json,5,sentences,100,401,negative_rejection
