file_name,k,chunk_type,chunk_size,question_id,RFP_id
exp_output_filtering_k15_typewords_size50.json,15,words,50,145,infra_2
exp_output_filtering_k15_typewords_size50.json,15,words,50,343,infra_4
exp_output_filtering_k15_typewords_size50.json,15,words,50,146,infra_2
exp_output_filtering_k15_typewords_size50.json,15,words,50,196,infra_3
exp_output_filtering_k15_typewords_size50.json,15,words,50,197,infra_3
exp_output_filtering_k15_typewords_size50.json,15,words,50,142,infra_2
exp_output_filtering_k15_typewords_size50.json,15,words,50,64,infra_1
exp_output_filtering_k15_typewords_size50.json,15,words,50,195,infra_3
exp_output_filtering_k15_typewords_size50.json,15,words,50,148,infra_2
exp_output_filtering_k15_typewords_size50.json,15,words,50,276,infra_4
exp_output_filtering_k15_typewords_size50.json,15,words,50,147,infra_2
exp_output_filtering_k15_typewords_size50.json,15,words,50,274,infra_4
exp_output_filtering_k15_typewords_size50.json,15,words,50,182,infra_1
exp_output_filtering_k15_typewords_size50.json,15,words,50,383,natsec_2
exp_output_filtering_k15_typewords_size50.json,15,words,50,238,natsec_1
exp_output_filtering_k15_typewords_size50.json,15,words,50,260,natsec_6
exp_output_filtering_k15_typewords_size50.json,15,words,50,131,natsec_4
exp_output_filtering_k15_typewords_size50.json,15,words,50,51,natsec_7
exp_output_filtering_k15_typewords_size50.json,15,words,50,225,natsec_1
exp_output_filtering_k15_typewords_size50.json,15,words,50,229,natsec_1
exp_output_filtering_k15_typewords_size50.json,15,words,50,400,negative_rejection
exp_output_filtering_k15_typewords_size50.json,15,words,50,401,negative_rejection
exp_output_filtering_k15_typewords_size50.json,15,words,50,403,negative_rejection
exp_output_filtering_k15_typewords_size50.json,15,words,50,405,negative_rejection
exp_output_filtering_k15_typewords_size50.json,15,words,50,407,negative_rejection
exp_output_filtering_k15_typewords_size50.json,15,words,50,409,negative_rejection
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,145,infra_2
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,81,infra_1
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,179,infra_1
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,197,infra_3
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,195,infra_3
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,71,infra_1
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,144,infra_2
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,148,infra_2
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,276,infra_4
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,147,infra_2
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,255,natsec_6
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,229,natsec_1
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,24,natsec_3
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,400,negative_rejection
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,401,negative_rejection
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,402,negative_rejection
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,403,negative_rejection
exp_output_filtering_k15_typesentences_size10.json,15,sentences,10,404,negative_rejection
